"x","r","lb_2.5","lb_25","ub_97.5","ub_75","prob","d_comb","variable"
19240,-0.0400325900917253,-0.0642377930042096,-0.0479043128496749,-0.0167705589023949,-0.0323628822748186,0.000625,2022-09-05,"growth_rate"
19241,-0.0403559382767258,-0.0648385362430573,-0.0481957956746233,-0.0175429634740664,-0.0328081659935366,0.00025,2022-09-06,"growth_rate"
19242,-0.0408432317777832,-0.066551448343314,-0.048790838288558,-0.0168344817441326,-0.0331481520005731,0.0004375,2022-09-07,"growth_rate"
19243,-0.0412187998458546,-0.0682295924222147,-0.0492472317820751,-0.0163216862811359,-0.0333608572692419,0.0009375,2022-09-08,"growth_rate"
19244,-0.0415725784306746,-0.0682899803151625,-0.0497404233716645,-0.0164889173394496,-0.0338151617774275,0.0008125,2022-09-09,"growth_rate"
19245,-0.0417373036403568,-0.06811515890443,-0.0499703640731682,-0.0180314510632862,-0.0341594040757573,0.0005625,2022-09-10,"growth_rate"
19246,-0.0421115890371548,-0.0682265712211655,-0.0502903671355253,-0.0193040632714283,-0.034427697028242,0.0003125,2022-09-11,"growth_rate"
19247,-0.0423078062367459,-0.0694508915836348,-0.0506726687532484,-0.0191131275727407,-0.0343253125880659,0.0005625,2022-09-12,"growth_rate"
19248,-0.0423620788598447,-0.070460158348209,-0.0509702618943634,-0.0189645269152784,-0.0343304521989637,0.0004375,2022-09-13,"growth_rate"
19249,-0.0424110958900419,-0.0707947868338149,-0.0510166467740821,-0.0194658678430036,-0.0345113467147177,0.0004375,2022-09-14,"growth_rate"
19250,-0.0424577736815572,-0.0707860347726496,-0.0508414256833963,-0.0198569775903631,-0.034714311216849,0.0003125,2022-09-15,"growth_rate"
19251,-0.0426536447972075,-0.0702535500169913,-0.0508914407913025,-0.0195835620526738,-0.0347633979734108,0.0001875,2022-09-16,"growth_rate"
19252,-0.0427335011242778,-0.0697556961225769,-0.0513164302280023,-0.0182256777161713,-0.0342871500568575,0.0003125,2022-09-17,"growth_rate"
19253,-0.042567148008803,-0.0696047500440621,-0.0513423012852156,-0.0169332625701776,-0.0338902899725209,0.0008125,2022-09-18,"growth_rate"
19254,-0.042258659288144,-0.0686910424866772,-0.05090751850352,-0.0166915221328184,-0.0336514721864593,0.001,2022-09-19,"growth_rate"
19255,-0.0417656787725813,-0.0675040975196693,-0.0502823836077313,-0.0166706035187048,-0.0334190076497632,0.0015625,2022-09-20,"growth_rate"
19256,-0.0410907455271707,-0.0667169554789376,-0.0495576307876622,-0.0159992249950413,-0.0325305636519007,0.0013125,2022-09-21,"growth_rate"
19257,-0.0404271411686945,-0.0668687774137669,-0.0492275365532088,-0.0143502174612826,-0.031569095554785,0.0023125,2022-09-22,"growth_rate"
19258,-0.0398493485407903,-0.0673095105802625,-0.0487077048536239,-0.0125801106376571,-0.0307640738301235,0.0040625,2022-09-23,"growth_rate"
19259,-0.039230713743464,-0.0661260341003604,-0.0478981317351574,-0.0119234557026255,-0.0302069171855348,0.004625,2022-09-24,"growth_rate"
19260,-0.0385035514636396,-0.0646183089741354,-0.0469977518816744,-0.0120415288636276,-0.029765648718579,0.0049375,2022-09-25,"growth_rate"
19261,-0.0378252061899802,-0.0639816516243081,-0.0462953096587585,-0.0116524791153004,-0.0294573448909148,0.0049375,2022-09-26,"growth_rate"
19262,-0.037255731246691,-0.0637738175324809,-0.0459422209221024,-0.00998822688620307,-0.0283169286898679,0.0056875,2022-09-27,"growth_rate"
19263,-0.0364096605757109,-0.0636813392443706,-0.04554452413246,-0.00855631273312852,-0.0273660438341804,0.0075625,2022-09-28,"growth_rate"
19264,-0.0356411079789863,-0.0628453505077746,-0.0449173684798111,-0.00811796629176821,-0.0265165995701705,0.008125,2022-09-29,"growth_rate"
19265,-0.0349617019743459,-0.0614270389184266,-0.0437863593236449,-0.00804049949893865,-0.0260106546368455,0.008,2022-09-30,"growth_rate"
19266,-0.0341163168070072,-0.0604984448516484,-0.0429570332343641,-0.00708066510664194,-0.0251680665943105,0.0075625,2022-10-01,"growth_rate"
19267,-0.0331541300364016,-0.0609277415563572,-0.0426286077046419,-0.00455965010263293,-0.0239676506767452,0.011625,2022-10-02,"growth_rate"
19268,-0.0323491485818689,-0.0605314320641158,-0.0419402515000092,-0.00311719570821943,-0.0230359876467237,0.015375,2022-10-03,"growth_rate"
19269,-0.0316541728710469,-0.0593761591813994,-0.0409840853932275,-0.00324612526518062,-0.0223998143331599,0.0161875,2022-10-04,"growth_rate"
19270,-0.0310724940287889,-0.0582313679602159,-0.0399380201023001,-0.00370460508256622,-0.0220340394334866,0.0150625,2022-10-05,"growth_rate"
19271,-0.0305403489946027,-0.0573815039099678,-0.0388716243830062,-0.00304071147101256,-0.021566446179239,0.01525,2022-10-06,"growth_rate"
19272,-0.0298872410906321,-0.0574810527527623,-0.0386408262760447,-0.00188191208423984,-0.0207017925872349,0.01975,2022-10-07,"growth_rate"
19273,-0.0293234836257041,-0.0574590477002252,-0.038281370120707,-0.000606327167862468,-0.0199121300927646,0.022625,2022-10-08,"growth_rate"
19274,-0.0287923617523633,-0.0568590399054828,-0.0377232960573732,-0.000466526655471643,-0.0194714218070482,0.02375,2022-10-09,"growth_rate"
19275,-0.0284434804416419,-0.0549137252823844,-0.0370396745770403,-0.00037755996730555,-0.0193526740571478,0.023875,2022-10-10,"growth_rate"
19276,-0.0282035194077719,-0.053974601635181,-0.0365989190038247,0.000185762676890717,-0.0193326878422144,0.0258125,2022-10-11,"growth_rate"
19277,-0.0282147802625123,-0.0541859800780227,-0.0367265604300029,0.00166542359294182,-0.0188065269689732,0.030125,2022-10-12,"growth_rate"
19278,-0.0283984919118014,-0.0544778176264553,-0.0371871790548068,0.0025981903113124,-0.0184270363771263,0.03375,2022-10-13,"growth_rate"
19279,-0.0285941782912779,-0.0546357457548702,-0.0375690051747452,0.00241532203693808,-0.0184993220815836,0.032875,2022-10-14,"growth_rate"
19280,-0.0289089262857424,-0.0547352313714562,-0.0378611868959823,0.000820916033704049,-0.0190227428238539,0.0281875,2022-10-15,"growth_rate"
19281,-0.0292896648667245,-0.0559030577935928,-0.0385832000597783,7.52888972112145e-05,-0.0198343525923983,0.025375,2022-10-16,"growth_rate"
19282,-0.0300060190090538,-0.0581469706987132,-0.0395729107293908,-0.000231407451449121,-0.0205678409222831,0.0245625,2022-10-17,"growth_rate"
19283,-0.0310987341273014,-0.0596819610105795,-0.0407769830548874,-0.000117611275564924,-0.0213570559836377,0.024625,2022-10-18,"growth_rate"
19284,-0.0322927338258394,-0.0605640115586339,-0.0420683132966245,-0.00132308487774477,-0.0226724048047938,0.0208125,2022-10-19,"growth_rate"
