"date","variable","strat","type","median","mean","sd","lower_95","lower_50","lower_20","upper_20","upper_50","upper_95"
2022-08-31,"growth_rate",NA,"estimate",-0.038456964236661,-0.0381450525943301,0.00517458040969645,-0.0477334230818845,-0.0416332681173107,-0.0396088906657204,-0.0371959525633621,-0.0349266499666815,-0.0271072570303675
2022-09-01,"growth_rate",NA,"estimate",-0.0383723944993739,-0.0380892881348633,0.00520239428228546,-0.0478894239458201,-0.0415997707250063,-0.0395796685945133,-0.0370411652838139,-0.0347410979781409,-0.027093219453791
2022-09-02,"growth_rate",NA,"estimate",-0.0382521942350186,-0.038082765307479,0.0052199454832152,-0.0478217870172369,-0.0416435915974889,-0.0395655044520703,-0.0369586661213816,-0.0347691237293888,-0.0269735008454143
2022-09-03,"growth_rate",NA,"estimate",-0.0382732257745112,-0.0381235745613159,0.00523209279720631,-0.047918975310407,-0.0416832102817279,-0.0395458265238233,-0.0368904862199267,-0.0347936531486486,-0.0273030760305562
2022-09-04,"growth_rate",NA,"estimate",-0.0382521604946516,-0.0382073326040267,0.0052453250079378,-0.0481695202582268,-0.0418082550958185,-0.0396484305878859,-0.0368501332694486,-0.0349184176111224,-0.027663685121248
2022-09-05,"growth_rate",NA,"estimate",-0.0382993403788732,-0.0383274517037584,0.00526640933762132,-0.0484164336222264,-0.0419189094731727,-0.0396746656820645,-0.0370008248078097,-0.034921364402402,-0.027459272519142
2022-09-06,"growth_rate",NA,"estimate",-0.0384766225067691,-0.0384754973028269,0.00530086898313278,-0.0489042089570992,-0.0419844271574275,-0.0398698654669725,-0.0372050205585317,-0.0351155169825485,-0.0276742972124757
2022-09-07,"growth_rate",NA,"estimate",-0.0386991281503137,-0.0386416081964514,0.00535167482926532,-0.0493181985273024,-0.0419624657121825,-0.0399911042871458,-0.0373683590651742,-0.0351368638145185,-0.0278045490748592
2022-09-08,"growth_rate",NA,"estimate",-0.0388318415536523,-0.0388149498910759,0.00541857308510166,-0.0497214642888756,-0.042388177814041,-0.040106695403388,-0.0376228035578615,-0.0352247598961317,-0.0279546609578966
2022-09-09,"growth_rate",NA,"estimate",-0.0389331001945884,-0.0389841717623299,0.00549831220570074,-0.0500893626177316,-0.0426601994316808,-0.0401464494234044,-0.0376953975603887,-0.0353429166975481,-0.028017679458321
2022-09-10,"growth_rate",NA,"estimate",-0.0389816457900987,-0.0391378424195148,0.00558570417840856,-0.0505217788462779,-0.0427755467523421,-0.0403756070516953,-0.0377107981743897,-0.035496733584394,-0.0280427163092623
2022-09-11,"growth_rate",NA,"estimate",-0.039001605905695,-0.0392648444845838,0.00567512387888576,-0.051042087246957,-0.0429440863195777,-0.040455399950612,-0.0377239586077372,-0.0355308784595895,-0.0282210747230755
2022-09-12,"growth_rate",NA,"estimate",-0.0390420060891449,-0.0393547181113449,0.00576189643210148,-0.0514131479478348,-0.0430053745840605,-0.0403789675207558,-0.03771959002409,-0.0355498499819836,-0.0281434721031545
2022-09-13,"growth_rate",NA,"estimate",-0.0391092752651578,-0.0393979498601569,0.00584311049285776,-0.0520453190865431,-0.0431718487079015,-0.0405426448083787,-0.0377221836531326,-0.035544569807169,-0.0281410434290001
2022-09-14,"growth_rate",NA,"estimate",-0.0390780091946232,-0.0393862082821115,0.00591766181158936,-0.0523398790844752,-0.0431721828561215,-0.040511336692758,-0.0376417137027823,-0.0355042672101796,-0.0283639051070873
2022-09-15,"growth_rate",NA,"estimate",-0.0390676853816234,-0.0393125292657629,0.00598565441575946,-0.0522486440019648,-0.0431563195831528,-0.0404406568192897,-0.0376301565691777,-0.0352916965801223,-0.0280758389778131
2022-09-16,"growth_rate",NA,"estimate",-0.0390258334933413,-0.0391714538295144,0.00604754169997029,-0.0519459200277044,-0.0429343507911413,-0.0403415801730459,-0.037536903365073,-0.0350072326616604,-0.0278449606803091
2022-09-17,"growth_rate",NA,"estimate",-0.0388050063928869,-0.038959120441714,0.00610347742829704,-0.0515476557139392,-0.0427931279970358,-0.0401852359488589,-0.037290227541017,-0.0347722273029176,-0.0278277185829164
