"x","r","lb_2.5","lb_25","ub_97.5","ub_75","prob","d_comb","variable"
19222,-0.0452439836598941,-0.0692931996523546,-0.0529260043482751,-0.0245850632742593,-0.0389381837184979,0,2022-08-18,"growth_rate"
19223,-0.0456466332649115,-0.07023981648915,-0.0528579177959979,-0.0242525385501152,-0.0388180811466493,0,2022-08-19,"growth_rate"
19224,-0.0456123424575055,-0.071445638839341,-0.0534164386934926,-0.0235913795902613,-0.0383901780347222,0,2022-08-20,"growth_rate"
19225,-0.0454574530038261,-0.0700900560175009,-0.052562532297538,-0.0225558005313852,-0.0379212649464731,0,2022-08-21,"growth_rate"
19226,-0.0450050821456907,-0.0687290933836978,-0.0521672176025662,-0.0222495947554005,-0.037629697103993,0.000666666666666667,2022-08-22,"growth_rate"
19227,-0.0443821404131493,-0.0675118069154044,-0.0517298872988214,-0.0216931082193586,-0.0375213774531992,0.000666666666666667,2022-08-23,"growth_rate"
19228,-0.0435053005262105,-0.0673457674190331,-0.0511334393249441,-0.0201547439576938,-0.0365791680643061,0.000666666666666667,2022-08-24,"growth_rate"
19229,-0.0426633804707279,-0.0679798229375017,-0.0506253670317055,-0.0186387411614633,-0.0355692861254285,0.002,2022-08-25,"growth_rate"
19230,-0.0420040112700379,-0.0666017145632057,-0.0499019328766798,-0.0188439908431829,-0.0346716265155979,0.000666666666666667,2022-08-26,"growth_rate"
19231,-0.0415402185645046,-0.0635103183802821,-0.0488048890880753,-0.0196273242292529,-0.0344206579211305,0.000666666666666667,2022-08-27,"growth_rate"
19232,-0.0408854462633848,-0.061532242253865,-0.0477832107558108,-0.0204886158626117,-0.0343848620313201,0,2022-08-28,"growth_rate"
19233,-0.0406961026470787,-0.0616168092123078,-0.0476159697311773,-0.0183073402909888,-0.0333811446486386,0,2022-08-29,"growth_rate"
19234,-0.0407275026835014,-0.0634926354116173,-0.0477096066920237,-0.0162630376786835,-0.0323869833802098,0.00133333333333333,2022-08-30,"growth_rate"
